"iterations"	"beta0"	"gamma0"	"delta0"	"omega2.beta0"	"omega2.gamma0"	"omega2.delta0"	"algo"
0.5	2	1	2	0.3	0.3	0.3	"50"
1	1.78120300604271	0.35458444032803	1.59006683634455	0.294734908175527	0.594227008139052	0.494108036716238	"50"
1.5	1.4721613344979	-0.0401530841018545	1.17514370620145	0.374822292446934	0.566681099836852	0.57108490896081	"50"
2	1.17050452277203	-0.220754729897495	0.94631631640128	0.409017002146785	0.384351839701364	0.471115963348821	"50"
2.5	0.915964136498213	-0.293485811797039	0.808331674860503	0.421335616464624	0.266426547560413	0.374608455572383	"50"
3	0.69415421919627	-0.318385752431613	0.720625971232771	0.446544763812395	0.198049964546333	0.291658124305725	"50"
3.5	0.467408001659935	-0.330995207680899	0.650187204477759	0.465376715849617	0.145478367345696	0.222417356911851	"50"
4	0.242045179722269	-0.324375154732407	0.607465940831605	0.457120114230693	0.119721079876375	0.173798286224295	"50"
4.5	0.0411920602837387	-0.319301680692055	0.585593017899465	0.486878664272257	0.0963280213440817	0.145187103708669	"50"
5	-0.166969110267591	-0.309352556985464	0.557719197383452	0.486588278698282	0.0812739737607032	0.113808506861678	"50"
5.5	-0.356099312654785	-0.312619006037454	0.544373922300002	0.465395921068547	0.0657521875205463	0.088316438680943	"50"
6	-0.542698748378568	-0.315223146418803	0.53941280318254	0.456022932522662	0.0520780994907538	0.0682638585213529	"50"
6.5	-0.694128449835481	-0.310905121636341	0.532558677498425	0.450057503885961	0.0461041801206378	0.0574931005176486	"50"
7	-0.824603457113738	-0.31074040915427	0.532909262210266	0.433096296471343	0.0407310782720085	0.0487012228311978	"50"
7.5	-0.970504922552002	-0.307467900867791	0.530449276495627	0.410886933721204	0.034869842302917	0.0405291904971439	"50"
8	-1.10747778041939	-0.311465516275792	0.541250179285362	0.395163161451909	0.0324409074615635	0.0373093467413089	"50"
8.5	-1.22222246006395	-0.308989588031099	0.543100477850843	0.378998436800374	0.0290639928140652	0.0337945898146224	"50"
9	-1.31449938902476	-0.30816209662502	0.540332491027395	0.367911529053876	0.0270375307540145	0.0299462744847256	"50"
9.5	-1.40847443815024	-0.305292144563218	0.541911405949961	0.352766212725992	0.0255564785889599	0.0274060838952915	"50"
10	-1.48126303467632	-0.304979244515551	0.544465734588415	0.348943237800147	0.0240040855733965	0.027259855301541	"50"
