"iterations"	"beta0"	"gamma0"	"delta0"	"omega2.beta0"	"omega2.gamma0"	"omega2.delta0"	"algo"
1.25	2	1	2	0.3	0.3	0.3	"25"
2.5	1.82573461024457	0.472514954410438	1.68089518381858	0.240584255771195	0.574840226312253	0.439383247591307	"25"
3.75	1.59235754957377	0.103846744848482	1.32832691734864	0.315289038147273	0.646151542142828	0.577598599118597	"25"
5	1.3832489210671	-0.102268668229365	1.09520769091158	0.366161464442456	0.4992839730297	0.536560977079186	"25"
6.25	1.16780133448482	-0.207760855566967	0.909582057873536	0.407066605112926	0.358904306936161	0.465002435133324	"25"
7.5	0.989273918383525	-0.243169336681867	0.777422335718693	0.428211137767229	0.258772066421371	0.405257429950155	"25"
8.75	0.810696726926918	-0.282417868779865	0.694142760626739	0.439069617272801	0.194044248796742	0.313289079845176	"25"
10	0.639152859634855	-0.296977402660978	0.632179910186278	0.434605418819536	0.152373495172573	0.24228683900324	"25"
11.25	0.465939340074666	-0.306761168863535	0.594308776039733	0.42584943888569	0.115757527963945	0.19487185834532	"25"
12.5	0.29526964191188	-0.306766595965435	0.559082211918305	0.444779339707015	0.0968213494766656	0.162573736165855	"25"
13.75	0.143174797477094	-0.305352085179202	0.543263717275042	0.455918555323468	0.0810555259870435	0.140307556267188	"25"
15	-0.0328074045018315	-0.307054839730439	0.542188775777064	0.478284630787752	0.069400757810151	0.117743422940528	"25"
16.25	-0.208387536801491	-0.305830443654574	0.538075885204455	0.499533600076958	0.0608750580759523	0.100666418050145	"25"
17.5	-0.343725809077754	-0.3081963034016	0.533630751650628	0.503564430966149	0.0543877749768085	0.0832944371610858	"25"
18.75	-0.488844104245461	-0.304108244779511	0.527010422706905	0.494046796727031	0.0472133961520711	0.0713781440763377	"25"
20	-0.656337667590685	-0.302963659314533	0.522810207316056	0.491960460010766	0.0416309125884336	0.0584298028759656	"25"
21.25	-0.810790473998632	-0.304235328226075	0.529385984525848	0.504584017888478	0.0394346832267242	0.0541123802718516	"25"
22.5	-0.921523228997823	-0.304162471393193	0.531931759036889	0.515086844517628	0.0369464057084371	0.0486784670257481	"25"
23.75	-1.03888171172899	-0.307727906973331	0.538571043560009	0.509498267828262	0.034726850926274	0.0436891543896863	"25"
25	-1.15829818110437	-0.3055531087608	0.537876057161273	0.480774595916154	0.031142476351139	0.0404282626910792	"25"
26.25	-1.23283091992755	-0.306517864184455	0.543805123293629	0.475980971459131	0.0296440186976486	0.0383580125772431	"25"
27.5	-1.34566547024094	-0.311707045387955	0.556039900806623	0.477338696556223	0.0288435128662509	0.036421506397378	"25"
28.75	-1.43858895731957	-0.31674839664141	0.562049282226883	0.469302905880007	0.0276733611981158	0.0345702396382566	"25"
30	-1.54125856787586	-0.320511583713332	0.571043853442403	0.432504817189487	0.026311506691194	0.0331796092376345	"25"
31.25	-1.61240796274035	-0.320942541766669	0.570189667705635	0.409562110655145	0.0253941509295731	0.0312547087396731	"25"
32.5	-1.68552847892051	-0.322102149852687	0.579152748472547	0.410984745006734	0.0241998127701508	0.0309021001825198	"25"
33.75	-1.75323940393473	-0.32452505264941	0.582947822557984	0.40440630957505	0.0238701781146379	0.0301218992050258	"25"
35	-1.83018096190821	-0.325805100098996	0.58995391260187	0.389578911647533	0.0238904319017743	0.0304084896378092	"25"
36.25	-1.90451797175507	-0.329074017460162	0.599240142751059	0.397219402885573	0.0235938247021301	0.0309945575321107	"25"
37.5	-1.94457824088177	-0.328721540171148	0.601889449139152	0.383326844607967	0.0233885358764943	0.0291251811346995	"25"
38.75	-1.98540423700013	-0.32984184900546	0.60434437520233	0.354921127282688	0.0224288692379506	0.0276453617397446	"25"
40	-2.02971972849917	-0.329230448555768	0.609075054038493	0.34712378601139	0.0213663631269341	0.0273201389408881	"25"
41.25	-2.08058776584332	-0.332653860317686	0.616095644011771	0.338889905546579	0.0224672286613253	0.0268711124453882	"25"
42.5	-2.09271557010136	-0.333110573903152	0.614374261956311	0.323773827554906	0.0220820503207989	0.025252033196721	"25"
43.75	-2.11510319276368	-0.333187267144332	0.616028315603371	0.338977904604265	0.0220457695620633	0.0259700885122827	"25"
45	-2.14962788704378	-0.336268540806963	0.623135033287931	0.337878434902193	0.0221216508703399	0.0247434315698785	"25"
46.25	-2.179714885735	-0.336133204579513	0.628309775294517	0.343059784784836	0.0220811264009648	0.0238331790628062	"25"
47.5	-2.21348633088959	-0.336987117311878	0.63152341500512	0.332055176371962	0.0216750943929031	0.0236743265080807	"25"
48.75	-2.25470974084207	-0.340156737309388	0.6353156839503	0.327691477658284	0.0218388319637509	0.0233410723397716	"25"
50	-2.26529266450286	-0.33921628874371	0.638002303130425	0.324939607024557	0.021636787781763	0.022671890617188	"25"
51.25	-2.29473418686687	-0.342485392237411	0.644632289782335	0.319213158865933	0.0221988495477402	0.0222052689274708	"25"
52.5	-2.32192320336954	-0.345247349451955	0.648699390013786	0.312116327620794	0.0222107505916086	0.0227786504558563	"25"
53.75	-2.33728615446099	-0.349850939280127	0.65459084431403	0.323792143483504	0.02291697516693	0.022873325632893	"25"
55	-2.36379660035491	-0.34877492576957	0.654420394073646	0.293247522051876	0.0225573513562818	0.0217225257400986	"25"
56.25	-2.37883710053053	-0.351120319436236	0.65833632166132	0.296683409919688	0.0226409924960704	0.0227264272918638	"25"
57.5	-2.39737783168417	-0.35097026204931	0.659762259640379	0.292302857593883	0.0224969336688179	0.0226123872908942	"25"
58.75	-2.41981671750679	-0.35366075956445	0.665694351319131	0.288441232142567	0.0226578319725612	0.0217829283451604	"25"
60	-2.41051509808219	-0.353009203693237	0.665364667568075	0.279224837558671	0.0225890168971467	0.0221404048706815	"25"
61.25	-2.4349533338283	-0.353835358639768	0.667951361081838	0.268380366919867	0.0228107758153875	0.0222105440216748	"25"
62.5	-2.43570283884316	-0.352781735293179	0.665035571484697	0.258199151355678	0.0230885903903222	0.0224417806365341	"25"
63.75	-2.44745999643534	-0.351438542721587	0.665519735333291	0.258842976969365	0.0225431449294227	0.022756769312771	"25"
65	-2.47320461582463	-0.357775305753231	0.671225305720315	0.270060844635511	0.0225751494485459	0.0231877610600485	"25"
66.25	-2.5096435941865	-0.36139696927794	0.675241706923059	0.255181749538155	0.0230685875287571	0.0233803476968382	"25"
