"iterations"	"beta0"	"gamma0"	"delta0"	"omega2.beta0"	"omega2.gamma0"	"omega2.delta0"	"algo"
0.9375	2	1	2	0.3	0.3	0.3	"85"
1.875	1.66175277463274	0.0253707835900044	1.38490137631414	0.365926574145401	0.560350002847205	0.552913501791324	"85"
2.8125	1.22799358890271	-0.312467566540508	0.930053497161429	0.401896102157327	0.341199906558434	0.46091843631804	"85"
3.75	0.818590315121963	-0.372408919350039	0.742821249240968	0.410471668276339	0.185140376918181	0.313354020058757	"85"
4.6875	0.451007097543004	-0.367573156804053	0.646833197463837	0.41008042550034	0.121726443922654	0.218693755553631	"85"
5.625	0.130760815066285	-0.337773576726303	0.58328969175948	0.414951772375426	0.0900726414710504	0.149519087773744	"85"
6.5625	-0.178094409170514	-0.327281496125945	0.551578929279537	0.418177447148026	0.0678820415445355	0.103583138746598	"85"
7.5	-0.46063680735908	-0.314282022607252	0.52618649200323	0.384729435881654	0.0542819032645912	0.0682339830811473	"85"
8.4375	-0.689395742598724	-0.309140867393408	0.523417632293628	0.386924930578759	0.0472269034616341	0.0568940060349502	"85"
9.375	-0.897690518925879	-0.307166523546452	0.523016682489692	0.374759761365429	0.0401732646440959	0.0478928696283261	"85"
10.3125	-1.08097517751301	-0.306808453888585	0.526971721030367	0.362221530809952	0.033315048995465	0.0396658367646054	"85"
11.25	-1.23360239417321	-0.306650849936792	0.529874134488868	0.336365609637509	0.0286547060846434	0.0331985950855038	"85"
12.1875	-1.37360104753996	-0.311357953732485	0.544407466416401	0.335183422068066	0.0262999125124007	0.0303436843770312	"85"
13.125	-1.48502248849457	-0.313196544410336	0.551254644497353	0.305271764278006	0.0246219930978009	0.027752205312774	"85"
14.0625	-1.59881782272204	-0.309499734481861	0.554204113069204	0.288781664807113	0.0217273127053271	0.0245771607085618	"85"
15	-1.69616583231471	-0.310552529876334	0.561718838465554	0.276737044199141	0.0206338310943969	0.0225956810693788	"85"
15.9375	-1.78185473460353	-0.311732418198209	0.569468499101112	0.273803351429069	0.0195662134496165	0.0204308993018855	"85"
16.875	-1.83383103069152	-0.311320471444616	0.570051011350765	0.260118699729998	0.0190403208640681	0.0194492416790966	"85"
17.8125	-1.88737200637612	-0.311260631900989	0.576171143919291	0.261399624507357	0.0188685805181359	0.0199639371920078	"85"
18.75	-1.94413404107682	-0.315401080085257	0.579866546429781	0.249220634390846	0.0187358152958956	0.0192339525220793	"85"
19.6875	-2.00518172394162	-0.321646958513876	0.592485461713114	0.245830857134948	0.0186858869293872	0.0185460360193463	"85"
20.625	-2.04119895632072	-0.324559360017253	0.59811079937234	0.240293934698511	0.0186843603580972	0.0178110934383944	"85"
21.5625	-2.09435316609371	-0.324642272248111	0.599549643206743	0.23332290893308	0.0189298554048506	0.0176921154536952	"85"
22.5	-2.13042518560505	-0.328592992565818	0.609719373798503	0.223323685249399	0.0192043209657713	0.0172482358949778	"85"
23.4375	-2.17718635066543	-0.331557597832396	0.615083757751154	0.215938558291525	0.0196949888774557	0.0174703650544685	"85"
24.375	-2.20692264086171	-0.331837546884571	0.61816079789014	0.218420387778767	0.0196143639387136	0.017821894587603	"85"
25.3125	-2.25188216011155	-0.333347633059896	0.62329196860378	0.209824976768232	0.0192906640053114	0.0177996498881578	"85"
26.25	-2.28964408815988	-0.335287504807273	0.632205739232311	0.205274145650114	0.0193126516597449	0.0176682293607541	"85"
27.1875	-2.31767927132607	-0.33835139301963	0.633192042031878	0.204847824537672	0.01943156864157	0.0176831251610204	"85"
28.125	-2.34766512059681	-0.341251344113923	0.641444287778861	0.194681483611431	0.0195079734090722	0.0173184124998365	"85"
29.0625	-2.35959978258618	-0.342689319856468	0.642518247248796	0.193157534144393	0.01932615076708	0.0162235215750542	"85"
30	-2.39398634001502	-0.34334476949463	0.647366725603391	0.186382082642505	0.0192538110045384	0.0159733243066766	"85"
30.9375	-2.42684356973159	-0.347806450381786	0.654260793528702	0.176883192928938	0.018720246280635	0.0161412664523942	"85"
31.875	-2.44854623717454	-0.349843838632016	0.657473372494495	0.169795539698369	0.0192920159166036	0.0163115118809524	"85"
32.8125	-2.46538825135185	-0.353112144091356	0.66238787388443	0.168523949851915	0.0200837440967169	0.0166468027771522	"85"
33.75	-2.48416559331356	-0.353534686843948	0.664768137046855	0.165755231998679	0.0195335920159819	0.0166959587602069	"85"
34.6875	-2.48815568306604	-0.352495921202032	0.665727267828617	0.160111933231424	0.0196654120801544	0.0166095832849014	"85"
35.625	-2.50466999000757	-0.355064718105242	0.668780005826979	0.156966147547629	0.0202129466341522	0.0166587608661159	"85"
36.5625	-2.51533104466709	-0.356543769138518	0.672457413433562	0.153050511378445	0.0200944864689982	0.0165671442703682	"85"
37.5	-2.52799430341932	-0.358657343999109	0.674044539854373	0.155046648300602	0.0201677795373403	0.0159862077047035	"85"
38.4375	-2.53578582575017	-0.357102131348828	0.676015221809939	0.15017866440629	0.0205863362901273	0.016388700996922	"85"
39.375	-2.55110026674657	-0.360683166860977	0.681840465443172	0.146809779921672	0.0202468013396132	0.0166969831679384	"85"
40.3125	-2.56843653600632	-0.363912539463468	0.68582234560727	0.14914273831295	0.0204743381479361	0.0169783472566931	"85"
41.25	-2.57978624173648	-0.362743689145121	0.685547048953325	0.143264928118554	0.0196600073661077	0.0167315340250504	"85"
42.1875	-2.59893285362113	-0.363742208501873	0.688712255418684	0.142850030848785	0.0201645632296346	0.0166193570348344	"85"
43.125	-2.61274599311454	-0.367269139454912	0.694273380482104	0.138766380880393	0.0206380644884342	0.0166326900498678	"85"
44.0625	-2.61877621616363	-0.366289383555401	0.695387257616212	0.137789572939826	0.0211945465599002	0.0169057088260786	"85"
45	-2.63688608699979	-0.369008094197235	0.696230030306135	0.1385372009223	0.0215413705238102	0.0172244169499033	"85"
45.9375	-2.66038529157987	-0.369921038815136	0.698524092132061	0.137699427558032	0.021421471468026	0.0174207629117823	"85"
46.875	-2.67566637136077	-0.372595459243543	0.701689360848726	0.135793134006188	0.0212688968680063	0.018074526974328	"85"
47.8125	-2.70478302318569	-0.375827931705224	0.710873540357867	0.132266414303183	0.0218765734776434	0.0181132477774479	"85"
48.75	-2.7278729826845	-0.378075425645822	0.717431774970624	0.128207368519967	0.0225302576336967	0.0178792468666882	"85"
49.6875	-2.7417330162721	-0.380459482301429	0.721280614767073	0.126433452950717	0.0230221323738973	0.0177901232951421	"85"
50.625	-2.75612583623871	-0.381812508231451	0.722433271882145	0.124310930504035	0.0229076647815084	0.0178461841513257	"85"
51.5625	-2.76887102002132	-0.383320873323273	0.72463683479251	0.123231229447916	0.0231714783651552	0.0176780046880352	"85"
52.5	-2.78265445245502	-0.384451081094748	0.728227152407602	0.122802317624219	0.0235996553632193	0.0179459077242915	"85"
53.4375	-2.79654902705704	-0.38515739244341	0.730600174637789	0.121056565720786	0.0230409223139645	0.0182327776954034	"85"
54.375	-2.81133544750376	-0.385625399594204	0.73378318692236	0.11968191902208	0.023204381889268	0.018680693366761	"85"
55.3125	-2.82802179102412	-0.388402172738858	0.737573086850332	0.119546559423191	0.0230439347811757	0.0188138997712392	"85"
56.25	-2.83392539826457	-0.387899640597441	0.738391112117963	0.115226291573553	0.0234410862986471	0.0187549092529775	"85"
57.1875	-2.84555724752212	-0.389112889043506	0.74110612049466	0.114479226173664	0.0230116914245719	0.0186560659590906	"85"
58.125	-2.86514161810606	-0.390905757060462	0.74510694099591	0.11429724018962	0.0232569147668757	0.0185074139014734	"85"
59.0625	-2.87980284233735	-0.392609034328221	0.747478600018005	0.113652668749525	0.0232723709257885	0.0189210754723096	"85"
60	-2.89188579823974	-0.39314150667462	0.749798929291669	0.112551223234782	0.0234157619148764	0.0187891218671099	"85"
60.9375	-2.90502986104786	-0.394937172411773	0.753020710328997	0.111001111698682	0.023361534019133	0.0187907323755819	"85"
61.875	-2.91963801319511	-0.39567977210236	0.756195010344133	0.110502460036439	0.0235517140555613	0.018798951676119	"85"
62.8125	-2.93299775831268	-0.396416555814609	0.756722857098615	0.108958075161077	0.0238307114304323	0.0188545871673866	"85"
63.75	-2.94410251029489	-0.396939917086913	0.759785296620605	0.10795783261093	0.0235878941932851	0.0190553431437758	"85"
64.6875	-2.95480166964851	-0.399133293197513	0.762991786825023	0.10766042861931	0.0237177227604217	0.0190626894139606	"85"
65.625	-2.96050956111125	-0.398730258346753	0.761310886213592	0.106304680118591	0.0237163247837835	0.0189724699152665	"85"
66.5625	-2.9713170221771	-0.399304005682698	0.7645174040996	0.107112854939201	0.0236503523380128	0.019163760358206	"85"
67.5	-2.98089469686776	-0.400467560518762	0.763960401924377	0.105931487829809	0.0237421440973946	0.0189780701883445	"85"
68.4375	-2.99046820829405	-0.40148424863827	0.767437306943847	0.106860592478741	0.023926882321659	0.0191441245754309	"85"
69.375	-3.00185805986942	-0.402746826647955	0.77007323078939	0.107654583413929	0.0240802554319381	0.0192351442732801	"85"
70.3125	-3.00945489769484	-0.403924968182038	0.772124608486449	0.106934844667482	0.0239201552898041	0.0197932863839957	"85"
71.25	-3.01980131946318	-0.405001210622037	0.774474015233757	0.105354790639391	0.0243559830447748	0.0199513130399358	"85"
72.1875	-3.02906070575843	-0.406280325422783	0.777240037830972	0.104366878260018	0.024442447713983	0.0203259363163805	"85"
73.125	-3.0385750378425	-0.407298119585895	0.779943729077916	0.105031279390481	0.0248478186180622	0.0198929611730396	"85"
74.0625	-3.04839075706971	-0.410260057146212	0.783201932243475	0.104140465832986	0.0251883728766436	0.0193993984211086	"85"
75	-3.05199102384526	-0.409936682370597	0.783687084245764	0.101243901726873	0.0255427764124296	0.0194331088178427	"85"
75.9375	-3.06032377038419	-0.411134371454723	0.785361244925175	0.100365281209744	0.0255423999496771	0.019382244995625	"85"
76.875	-3.06723188809258	-0.411090268099395	0.786173459381435	0.0995727480575113	0.0256908496033814	0.0192194528098196	"85"
77.8125	-3.07577594271555	-0.412211816253383	0.78825631762948	0.0980752658840416	0.0257746538518662	0.0196083866748573	"85"
78.75	-3.0875314373003	-0.413932457640566	0.79209561539164	0.0974713814244694	0.0258168032526139	0.0198502270795159	"85"
79.6875	-3.09677331257656	-0.414335569263911	0.791478425984129	0.0972521844219276	0.026385806322745	0.0198084800392645	"85"
80.625	-3.10151047184914	-0.415909964328577	0.793513564409666	0.0955911889852619	0.026139781264234	0.0198518030488369	"85"
81.5625	-3.11220491251051	-0.417546769130099	0.796951474693751	0.0959801276048271	0.0263316873317304	0.0203001141396113	"85"
82.5	-3.12320281229359	-0.419207342394192	0.800272442908573	0.0956549629117873	0.0265905862331564	0.0205303632242366	"85"
83.4375	-3.1296444644316	-0.420227678662624	0.802815681151364	0.0958675575066792	0.0266313414603699	0.021113991100146	"85"
84.375	-3.13658327488836	-0.420455857754638	0.804060450619174	0.0946612335682779	0.0271118147860148	0.0212738712676876	"85"
85.3125	-3.1436453103489	-0.421852777891972	0.804936829410992	0.0941505549553447	0.027551820187084	0.021684281664844	"85"
86.25	-3.15141270692762	-0.423024024737616	0.807940766001562	0.0939010389661572	0.0280375468184872	0.0219018050117427	"85"
