"iterations"	"beta0"	"gamma0"	"delta0"	"omega2.beta0"	"omega2.gamma0"	"omega2.delta0"	"algo"
1	2	1	2	0.3	0.3	0.3	"ref"
2	1.54537462016435	-0.309611460436891	1.1743088620871	0.417482597474712	0.304956954952498	0.548456500468323	"ref"
3	1.00572765927693	-0.407485364709065	0.777672479830109	0.429520569475545	0.172362918645424	0.364801592866184	"ref"
4	0.480703778268952	-0.369737748391417	0.636682295246995	0.412572058111024	0.112652688287742	0.216378351805879	"ref"
5	0.0192091671916301	-0.342802478540309	0.565654326432429	0.376488045411452	0.0830734435233478	0.137173430221063	"ref"
6	-0.341333797653955	-0.320385405291149	0.528644646045212	0.341262006144408	0.0607599845494182	0.0878893420569875	"ref"
7	-0.645155332817544	-0.313100084993737	0.521550206478541	0.313260388961704	0.0449451989345418	0.0607484610879995	"ref"
8	-0.884633277106706	-0.304931781329539	0.515991204985381	0.291376546911836	0.0357264036677383	0.0437438600929007	"ref"
9	-1.0940999703182	-0.302692728252358	0.519521341119751	0.27731693402038	0.0299271937307044	0.0350088099186701	"ref"
10	-1.2659036711829	-0.299593786873413	0.523686606878993	0.261646990934923	0.0270361385116202	0.0302592697640564	"ref"
11	-1.4083246807846	-0.30410550861827	0.533630371023983	0.249172417332932	0.0248519347142644	0.0268220525279171	"ref"
12	-1.5194476369888	-0.302080828247818	0.535030900038378	0.23400751750757	0.0228366545819987	0.0236112540111821	"ref"
13	-1.63348633681956	-0.305470439890938	0.547785311875433	0.227467695444837	0.0214402068222858	0.0223226375465324	"ref"
14	-1.72340105441913	-0.308896641268487	0.556511183919543	0.214225238085465	0.0213612146265831	0.0209353093785676	"ref"
15	-1.80074573428669	-0.309691327736307	0.563497502183982	0.20754707725866	0.0195567023533292	0.0190744044809931	"ref"
16	-1.87061814549854	-0.313175623360029	0.572468334692127	0.205011944046323	0.0191600979370777	0.0185119677541609	"ref"
17	-1.93787875038357	-0.317030169772033	0.581495809061043	0.20017010408555	0.0190019410198629	0.017518074523412	"ref"
18	-1.99743526482321	-0.319933736862192	0.589778829695639	0.195653805508766	0.0191094746151297	0.0170214813788458	"ref"
19	-2.05659439643374	-0.323273282584173	0.596473751614913	0.185340708959703	0.0190094900214928	0.0166239789092725	"ref"
20	-2.10485303540711	-0.324426893774231	0.602535590461955	0.180000440068673	0.0188558789199922	0.0161720618127486	"ref"
21	-2.15006081425159	-0.3258244105837	0.607651433173568	0.174219382397395	0.0184485877332366	0.0157995531768029	"ref"
22	-2.19271359124524	-0.329420643685762	0.61439858574581	0.170671538459348	0.0183318277667148	0.0160381129952251	"ref"
23	-2.2298609431126	-0.332058358873041	0.619570497473184	0.170643825082215	0.0184095555353882	0.0156701984758337	"ref"
24	-2.26557188740681	-0.334734393142239	0.625758178786455	0.165022224645003	0.0188191103202663	0.0154606078446765	"ref"
25	-2.28849932383029	-0.33596179944539	0.627973821480392	0.156319374591987	0.0185422633386962	0.015802345291444	"ref"
26	-2.31819086412046	-0.336742276374505	0.63231183874552	0.150823267370464	0.018570523226005	0.0156124317207964	"ref"
27	-2.34322377436526	-0.339428965308002	0.637803545179023	0.149218959942183	0.0182393567549546	0.0156549748871923	"ref"
28	-2.37074460837051	-0.341646862672768	0.643714371734259	0.14880818550531	0.0181719515772192	0.0152378779959481	"ref"
29	-2.40066614825724	-0.342704563498743	0.647339622249999	0.143275399718094	0.0177489082314234	0.0155672646135976	"ref"
30	-2.41880436611135	-0.343388636062492	0.649279950984544	0.139650616216817	0.0180720554014816	0.0154423552972213	"ref"
31	-2.43938314601906	-0.345753710718965	0.652655661831657	0.138455308262902	0.0180117276351805	0.0152596471857704	"ref"
32	-2.46418293612329	-0.348981040042782	0.657885460078739	0.137093136073257	0.0186333350995332	0.0146856289088945	"ref"
33	-2.48237163913074	-0.351277746782635	0.662202108171234	0.133483058515698	0.0190298284280438	0.0144882368587342	"ref"
34	-2.49630452473457	-0.35347873568698	0.665441502125948	0.134269659887984	0.0190773214260283	0.0145976182431528	"ref"
35	-2.51503412567528	-0.354267669757353	0.668608877361678	0.132331759312256	0.0192771067518732	0.0145654670341099	"ref"
36	-2.52957663825975	-0.354666495536921	0.670646023106285	0.129267369165669	0.0189630189251362	0.0148989191172796	"ref"
37	-2.54519086956788	-0.355606408649361	0.673302307551208	0.128045817177668	0.0187499366403034	0.0146510499756528	"ref"
38	-2.56498691059497	-0.357029974615605	0.676704930398181	0.125052487226561	0.0189619870243297	0.0147621765436412	"ref"
39	-2.58384541732487	-0.358027560732088	0.680539471576337	0.118954594566757	0.0192874379885661	0.0147091151995269	"ref"
40	-2.59683618767218	-0.360525877847494	0.683049339582699	0.118118398892035	0.0198380257009483	0.0149279844500272	"ref"
41	-2.60733911558234	-0.362457822566435	0.685372669871127	0.117763194430171	0.0199457308224447	0.0150648655240785	"ref"
42	-2.62940340840031	-0.364255123686259	0.691361450839964	0.115117107494034	0.0191976534557479	0.015299928265719	"ref"
43	-2.64155733542323	-0.366105791816428	0.694295911122018	0.114092805072122	0.0197213661235913	0.0154682932427748	"ref"
44	-2.65757474043479	-0.366416456259859	0.697667093052405	0.112485605107495	0.0196087254977074	0.0154579553080346	"ref"
45	-2.67318212590255	-0.368439292306572	0.700930662593778	0.110259982543514	0.0198590397426949	0.0158725019013345	"ref"
46	-2.68435780851194	-0.369544078532838	0.70313919408139	0.105749150497908	0.0199772480487562	0.0158171697967533	"ref"
47	-2.69481463654848	-0.370425031629105	0.706084593420649	0.104208635800862	0.0199935167101274	0.0161445009525221	"ref"
48	-2.70608676080463	-0.371514738680146	0.708242142522354	0.104229150076177	0.0198469766882172	0.0164024232258089	"ref"
49	-2.72459771665364	-0.373179402727881	0.712345801039492	0.103728879775667	0.0200129903244036	0.0164854355221314	"ref"
50	-2.74224731636897	-0.37688085517142	0.717119779144442	0.104075944390074	0.0205267912756674	0.0168023690191268	"ref"
51	-2.76036626614482	-0.379210250882587	0.722089971609672	0.103553374988929	0.0207695363565333	0.0173459566522115	"ref"
52	-2.77399876751148	-0.380538269069099	0.726081817333923	0.100911427345481	0.0212231876331902	0.0175285090862105	"ref"
53	-2.78622599023351	-0.382751000583379	0.729345652966341	0.100608157233562	0.0214741223593937	0.0174334502579623	"ref"
54	-2.79474532469916	-0.384104433394447	0.730305744130719	0.100136422087582	0.021340041668212	0.0172955780147099	"ref"
55	-2.80464713145821	-0.384946035307457	0.731695507290897	0.0996697917201228	0.0213131826313019	0.0173856031817988	"ref"
56	-2.81647300281498	-0.385418985696208	0.735199869119393	0.099326884785607	0.0215215239655415	0.0175491292963845	"ref"
57	-2.82623432079445	-0.386269147499844	0.736741552415056	0.097407881879465	0.0214065497488822	0.0177018240866007	"ref"
58	-2.83696343354687	-0.386603739299743	0.739014264086112	0.0968908958623267	0.0217360853098213	0.0177474793456273	"ref"
59	-2.84892390251509	-0.388885363023917	0.741383252003883	0.0954660251642085	0.0219030268938936	0.0175800217088504	"ref"
60	-2.85555333196951	-0.388515230966681	0.741974136325315	0.0933102817088738	0.0222458110410094	0.0174743412847963	"ref"
61	-2.86442394408723	-0.38994634387744	0.743789402266356	0.0924739364436444	0.0222343126056501	0.0171196443606769	"ref"
62	-2.87621783039735	-0.389950749059259	0.745005811731555	0.0922666459048891	0.0222355579035447	0.0171040146702454	"ref"
63	-2.88805766252068	-0.391555630481373	0.748620426720389	0.0913645567229402	0.0222399798602893	0.0176256982652856	"ref"
64	-2.9003263372583	-0.393494167885824	0.750884607245854	0.0914098209327214	0.0224621761224822	0.0176681269657081	"ref"
65	-2.90985579414121	-0.39483094350879	0.754154545753247	0.0915734773558032	0.0223170737561022	0.0176393046815158	"ref"
66	-2.92090246367608	-0.395751305813875	0.756433464034288	0.0898477865258549	0.0226802732945328	0.0174888903929334	"ref"
67	-2.9331664549493	-0.395980727636572	0.756956186550229	0.0861751198802132	0.0230896923358205	0.017064957445966	"ref"
68	-2.9413164171964	-0.395831166684311	0.759036118754693	0.0868442923139447	0.0226664296878626	0.0175041024886736	"ref"
